lga_code,lga_name,state,min_dist_power_km,min_dist_power_station_km,min_dist_transmission_km,pop_density,min_dist_rail_km,min_dist_fire_km,cyclone_risk,min_dist_cyclone_km,annual_temp,lga_name_clean,total_outages,avg_customers_affected,avg_duration_min,power_score,power_station_score,transmission_score,pop_score,rail_score,fire_risk_score,cyclone_risk_score,cooling_score,reliability_score,composite_score,pca_score,PC1_score,PC1_rank,composite_rank,longitude,latitude
17200,Sydney,New South Wales,0.8767762158653117,2.0564700485145835,0.08024923411930307,8531.036735322741,0.45869149780917123,6.418030304289643,8.278143253599847e-4,119.80003563179925,23.48,SYDNEY,48,504.89583333333337,251.69329146470832,0.9996807584264222,0.9993043415935416,0.9999731175967255,1,0.9998606733197806,0.9976470471968598,0.9982322111972082,0.6126554498902705,0.9193277310924369,0.9474090367014717,-1.9750700656810398,-1.9750700656810398,547,1,1760057.6307439285,-3830916.0017020367
11300,Burwood,New South Wales,1.9091462575529414,5.614531351974496,0.4109519949468157,6352.504211425781,0.7544851203521687,8.780064092007832,7.69748101581914e-4,128.91262959205667,23.48,BURWOOD,39,289.15384615384613,271.5599024412821,0.9992366138544505,0.9976319353780625,0.9998308447423452,0.7446344566887875,0.9997313443202044,0.9966024278283352,0.9983716952077939,0.6126554498902705,0.934453781512605,0.9203498388247616,-1.7297326747806399,-1.7297326747806399,544,2,1751070.3466727186,-3828947.3154170723
25900,Port Phillip,Victoria,1.8181328583252763,3.133893901710395,1.7647848880069448,5366.12276353836,0.31121932379005324,18.288311622740245,0.0014250614820840353,700.7241098521463,22.31,PORT PHILLIP,0,0,0,0.999275769492072,0.9987979168315405,0.9992484073004332,0.6290117466356484,0.9999251521566374,0.9923973654016353,0.9967975315622931,0.6554498902706657,1,0.9189893088501029,-1.6267210434397645,-1.6267210434397645,540,3,1146319.2717390296,-4196371.796104299
27350,Yarra,Victoria,1.1053965874512204,2.7783731329016925,0.5355930008544236,5041.717591658882,0.48963883863341184,19.471020150988473,0.0014245117672866663,700.9949030710686,22.28,YARRA,0,0,0,0.9995824017393994,0.99896502332375,0.9997772224755127,0.5909852760361723,0.9998471423024654,0.99187430758495565,0.9967988520618818,0.6565471836137526,1,0.9149308232375434,-1.5991875080969762,-1.5991875080969762,538,4,1149740.4983920078,-4191160.604720065
14170,Inner West,New South Wales,1.2086635523337885,5.467665883201269,0.9001606669692201,5329.899280428886,0.2609296188167992,5.580935749825161,7.985510971178693e-4,124.22680184263727,23.48,INNER WEST,0,0,0,0.9995379743925523,0.9977009669944028,0.9996203804753337,0.6247656638512938,0.9999471401805077,0.99801725578127,0.9983025059774145,0.6126554498902705,1,0.914505259727005,-1.5992576307644042,-1.5992576307644042,539,5,1755648.8649943694,-3830507.688653374
24600,Melbourne,Victoria,1.3943714308028428,1.2338269491325105,0.10789577282894797,5002.187759852601,0.5283144122826644,17.110243251003325,0.0014326908294622265,696.9872973538604,22.76,MELBOURNE,0,0,0,0.9994580794490109,0.9996910109944285,0.9999612236773456,0.5863516261523712,0.999830232292016,0.9929183710895986,0.9967792046951194,0.6389904901243598,1,0.9126644709415833,-1.5834562074211174,-1.5834562074211174,537,6,1144803.9003490908,-4191629.0016698036
26350,Stonnington,Victoria,1.3129459982861615,7.934677386859932,0.08190021293982853,4365.785434570313,0.47171259185926767,24.237896370873703,0.0014136254725423862,706.4009484290867,22.31,STONNINGTON,0,0,0,0.9994931101670794,0.9965413901854352,0.9999724073230382,0.5117531412651578,0.999854980144071,0.9897661365450053,0.9968250026181356,0.6554498902706657,1,0.9055173398353986,-1.5047554042662736,-1.5047554042662736,535,7,1152193.3312876488,-4197615.945044778
22310,Glen Eira,Victoria,1.4085802323578687,8.085639178688705,0.34418405543311786,4168.512409410979,0.3735203303384617,25.429948988495813,0.0014081552524571744,709.1489684855701,22.31,GLEN EIRA,0,0,0,0.9994519665613543,0.9964704331620953,0.9998595692238461,0.48862898190657,0.9998979124657331,0.9892389462655338,0.9968381429290879,0.6554498902706657,1,0.9028706491983208,-1.4810545041899141,-1.4810545041899141,531,8,1152491.2843664177,-4202448.517085973
15950,North Sydney,New South Wales,1.4920577035845335,0.8674383339312081,2.646836257156817,6447.671000162761,1.0397428357918606,12.567662679538872,8.35812243631797e-4,118.64409562305157,23.48,NORTH SYDNEY,149,540.0671140939598,228.62260006328188,0.9994160530185062,0.9998632257330412,0.9988689367278714,0.7557898185869565,0.9996066219051568,0.9949273464364836,0.9982129989659951,0.6126554498902705,0.7495798319327731,0.9009911425774505,-1.8491375406900177,-1.8491375406900177,546,9,1761821.675233638,-3824809.7906224467
25250,Moreland,Victoria,1.6423229993774926,4.831012018561038,1.1875722134626245,3609.2112090441647,1.2969177971286872,11.120564676976842,0.001439509276584242,693.6811780003688,22.28,MORELAND,0,0,0,0.999351406125641,0.9980002153180046,0.9994967320939318,0.42306821871410816,0.9994941780323654,0.9955673316092147,0.9967628257352238,0.6565471836137526,1,0.8964764545824713,-1.4671125308349413,-1.4671125308349413,530,10,1146151.9955375094,-4182809.1708966
